row_id,order_id,order_date,ship_date,"Ship Mode",cust_id,cust_name,segment,country_region,city,state_province,post_code,region,product_id,category,sub_category,sales,qty,discount,profit
29,US-2023-118192,2023-01-13,2023-01-18,"Standard Class",MM-17920,"Michael Moore",Consumer,"United States",Newark,Ohio,43055,East,OFF-PA-10002947,"Office Supplies",Paper,37.41,7.00,0.20,13.09
30,US-2023-162775,2023-01-13,2023-01-15,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,OFF-ST-10000025,"Office Supplies",Storage,572.58,6.00,0.00,34.35
31,US-2023-157147,2023-01-13,2023-01-18,"Standard Class",BD-11605,"Brian Dahlen",Consumer,"United States","San Francisco",California,94109,West,OFF-ST-10000078,"Office Supplies",Storage,1325.85,5.00,0.00,238.65
32,US-2023-162775,2023-01-13,2023-01-15,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,646.74,6.00,0.00,258.70
33,US-2023-149524,2023-01-14,2023-01-15,"First Class",BS-11590,"Brendan Sweed",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,61.96,4.00,0.50,-53.29
34,US-2023-103366,2023-01-15,2023-01-17,"First Class",EH-13990,"Erica Hackney",Consumer,"United States",Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,149.95,5.00,0.00,65.98
35,US-2023-115791,2023-01-16,2023-01-18,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,127.10,6.00,0.20,28.60
36,US-2023-115791,2023-01-16,2023-01-18,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,"Office Supplies",Binders,18.59,2.00,0.70,-13.63
37,US-2023-115791,2023-01-16,2023-01-18,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,"Office Supplies",Labels,30.07,3.00,0.20,10.15
38,US-2023-115791,2023-01-16,2023-01-18,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,124.20,3.00,0.40,-31.05
39,US-2023-123477,2023-01-18,2023-01-21,"Second Class",DW-13195,"David Wiener",Corporate,"United States",Springfield,Oregon,97477,West,OFF-AP-10000692,"Office Supplies",Appliances,64.86,4.00,0.20,6.49
40,US-2023-146591,2023-01-19,2023-01-20,"First Class",TS-21340,"Toby Swindell",Consumer,"United States",Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,181.47,5.00,0.70,-320.60
41,US-2023-146591,2023-01-19,2023-01-20,"First Class",TS-21340,"Toby Swindell",Consumer,"United States",Scottsdale,Arizona,85254,West,OFF-BI-10003676,"Office Supplies",Binders,32.34,10.00,0.70,-23.72
42,US-2023-146591,2023-01-19,2023-01-20,"First Class",TS-21340,"Toby Swindell",Consumer,"United States",Scottsdale,Arizona,85254,West,OFF-EN-10002504,"Office Supplies",Envelopes,108.72,5.00,0.20,36.69
43,US-2023-146591,2023-01-19,2023-01-20,"First Class",TS-21340,"Toby Swindell",Consumer,"United States",Scottsdale,Arizona,85254,West,OFF-PA-10000659,"Office Supplies",Paper,56.06,4.00,0.20,19.62
44,US-2023-147627,2023-01-20,2023-01-26,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,1067.94,3.00,0.00,224.27
45,US-2023-167927,2023-01-20,2023-01-26,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,14.73,3.00,0.00,4.86
46,US-2023-167927,2023-01-20,2023-01-26,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,272.94,3.00,0.00,30.02
47,US-2023-147627,2023-01-20,2023-01-26,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,38.60,4.00,0.00,11.58
48,US-2023-148614,2023-01-20,2023-01-25,"Standard Class",MV-17485,"Mark Van Huff",Consumer,"United States","Los Angeles",California,90049,West,FUR-FU-10003194,Furniture,Furnishings,19.30,2.00,0.00,5.79
49,US-2023-167927,2023-01-20,2023-01-26,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-AP-10002311,"Office Supplies",Appliances,247.72,4.00,0.10,93.58
50,US-2023-147627,2023-01-20,2023-01-26,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,OFF-AR-10002375,"Office Supplies",Art,22.96,7.00,0.00,6.66
51,US-2023-147627,2023-01-20,2023-01-26,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,OFF-AR-10003811,"Office Supplies",Art,6.63,3.00,0.00,1.79
52,US-2023-167927,2023-01-20,2023-01-26,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-AR-10004456,"Office Supplies",Art,43.92,3.00,0.00,12.74
53,US-2023-167927,2023-01-20,2023-01-26,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-BI-10000605,"Office Supplies",Binders,19.05,5.00,0.00,8.95
54,US-2023-147774,2023-01-20,2023-01-26,"Standard Class",MM-18280,"Muhammed MacIntyre",Corporate,"United States",Smyrna,Tennessee,37167,South,OFF-BI-10003091,"Office Supplies",Binders,67.19,1.00,0.70,-51.52
55,US-2023-167927,2023-01-20,2023-01-26,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-BI-10004364,"Office Supplies",Binders,29.70,5.00,0.00,13.37
56,US-2023-147627,2023-01-20,2023-01-26,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,OFF-EN-10001539,"Office Supplies",Envelopes,23.34,3.00,0.00,10.97
57,US-2023-148614,2023-01-20,2023-01-25,"Standard Class",MV-17485,"Mark Van Huff",Consumer,"United States","Los Angeles",California,90049,West,OFF-PA-10002893,"Office Supplies",Paper,19.36,2.00,0.00,9.29
58,US-2023-167927,2023-01-20,2023-01-26,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-ST-10000760,"Office Supplies",Storage,13.98,1.00,0.00,4.05
59,US-2023-167927,2023-01-20,2023-01-26,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-ST-10003123,"Office Supplies",Storage,66.58,2.00,0.00,15.98
60,US-2023-147627,2023-01-20,2023-01-26,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,699.93,7.00,0.00,181.98
61,US-2023-110422,2023-01-21,2023-01-23,"Second Class",TB-21400,"Tom Boeckenhauer",Consumer,"United States",Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,25.25,3.00,0.20,4.10
62,CA-2023-115238,2023-01-21,2023-01-24,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Furniture,Furnishings,24.30,5.00,0.00,10.45
63,CA-2023-115238,2023-01-21,2023-01-24,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Furniture,Furnishings,9.48,1.00,0.00,3.79
64,CA-2023-115238,2023-01-21,2023-01-24,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Furniture,Furnishings,31.40,5.00,0.00,13.19
65,CA-2023-115238,2023-01-21,2023-01-24,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,"Office Supplies",Paper,6.48,1.00,0.00,3.11
66,CA-2023-115238,2023-01-21,2023-01-24,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Technology,Phones,209.50,10.00,0.00,58.66
67,US-2023-146997,2023-01-23,2023-01-27,"Standard Class",SG-20605,"Speros Goranitis",Consumer,"United States",Lafayette,Indiana,47905,Central,OFF-FA-10003467,"Office Supplies",Fasteners,5.94,3.00,0.00,0.00
68,US-2023-102645,2023-01-23,2023-01-28,"Standard Class",IM-15055,"Ionia McGrath",Consumer,"United States","Las Vegas",Nevada,89115,West,OFF-PA-10001804,"Office Supplies",Paper,40.08,6.00,0.00,19.24
69,US-2023-167997,2023-01-26,2023-01-29,"First Class",CA-11965,"Carol Adams",Corporate,"United States","Rapid City","South Dakota",57701,Central,FUR-BO-10004409,Furniture,Bookcases,141.96,2.00,0.00,39.75
70,US-2023-155502,2023-01-26,2023-01-31,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,12.42,3.00,0.00,4.47
71,US-2023-155502,2023-01-26,2023-01-31,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,62.82,3.00,0.00,30.78
72,US-2023-167997,2023-01-26,2023-01-29,"First Class",CA-11965,"Carol Adams",Corporate,"United States","Rapid City","South Dakota",57701,Central,OFF-BI-10001758,"Office Supplies",Binders,10.68,2.00,0.00,5.02
73,US-2023-155502,2023-01-26,2023-01-31,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,OFF-PA-10000380,"Office Supplies",Paper,16.68,2.00,0.00,8.34
74,US-2023-155502,2023-01-26,2023-01-31,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,OFF-PA-10003072,"Office Supplies",Paper,19.44,3.00,0.00,9.33
75,US-2023-155502,2023-01-26,2023-01-31,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,OFF-ST-10004337,"Office Supplies",Storage,489.92,8.00,0.00,0.00
76,US-2023-155502,2023-01-26,2023-01-31,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,187.98,2.00,0.00,52.63
77,US-2023-155502,2023-01-26,2023-01-31,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,155.35,13.00,0.00,0.00
78,US-2023-117163,2023-01-27,2023-02-02,"Standard Class",EJ-13720,"Ed Jacobs",Consumer,"United States","San Diego",California,92037,West,FUR-TA-10003469,Furniture,Tables,333.00,3.00,0.20,-16.65
79,US-2023-117163,2023-01-27,2023-02-02,"Standard Class",EJ-13720,"Ed Jacobs",Consumer,"United States","San Diego",California,92037,West,OFF-AR-10003179,"Office Supplies",Art,36.44,4.00,0.00,12.03
80,US-2023-117163,2023-01-27,2023-02-02,"Standard Class",EJ-13720,"Ed Jacobs",Consumer,"United States","San Diego",California,92037,West,OFF-ST-10003692,"Office Supplies",Storage,57.23,1.00,0.00,14.31
81,US-2023-100328,2023-01-28,2023-02-03,"Standard Class",JC-15340,"Jasper Cacioppo",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10000343,"Office Supplies",Binders,3.93,1.00,0.20,1.33
82,US-2023-134103,2023-01-30,2023-02-04,"Standard Class",MV-18190,"Mike Vittorini",Consumer,"United States",Detroit,Michigan,48234,Central,OFF-PA-10001204,"Office Supplies",Paper,10.56,2.00,0.00,4.75
83,US-2023-134103,2023-01-30,2023-02-04,"Standard Class",MV-18190,"Mike Vittorini",Consumer,"United States",Detroit,Michigan,48234,Central,OFF-ST-10000991,"Office Supplies",Storage,229.94,2.00,0.00,6.90
84,US-2023-115161,2023-01-31,2023-02-02,"First Class",LC-17050,"Liz Carlisle",Consumer,"United States","Mission Viejo",California,92691,West,FUR-BO-10003966,Furniture,Bookcases,290.67,2.00,0.15,3.42
85,US-2023-140795,2023-02-01,2023-02-03,"First Class",BD-11500,"Bradley Drucker",Consumer,"United States","Green Bay",Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,468.90,6.00,0.00,206.32
86,US-2023-123400,2023-02-02,2023-02-09,"Standard Class",EB-13930,"Eric Barreto",Consumer,"United States","Saint Petersburg",Florida,33710,South,OFF-BI-10000666,"Office Supplies",Binders,18.34,2.00,0.70,-12.22
87,US-2023-139857,2023-02-02,2023-02-06,"Standard Class",CD-12790,"Cynthia Delaney","Home Office","United States","San Diego",California,92037,West,OFF-FA-10001843,"Office Supplies",Fasteners,12.35,5.00,0.00,5.80
88,US-2023-123400,2023-02-02,2023-02-09,"Standard Class",EB-13930,"Eric Barreto",Consumer,"United States","Saint Petersburg",Florida,33710,South,TEC-PH-10002890,Technology,Phones,180.96,5.00,0.20,13.57
89,US-2023-111059,2023-02-03,2023-02-06,"Second Class",TB-21400,"Tom Boeckenhauer",Consumer,"United States",Seattle,Washington,98105,West,OFF-BI-10002827,"Office Supplies",Binders,13.27,3.00,0.20,4.31
90,US-2023-111059,2023-02-03,2023-02-06,"Second Class",TB-21400,"Tom Boeckenhauer",Consumer,"United States",Seattle,Washington,98105,West,OFF-BI-10004593,"Office Supplies",Binders,83.84,2.00,0.20,27.25
91,US-2023-104808,2023-02-04,2023-02-08,"Second Class",MH-17440,"Mark Haberlin",Corporate,"United States",Escondido,California,92025,West,OFF-BI-10003676,"Office Supplies",Binders,17.25,2.00,0.20,6.04
92,US-2023-107181,2023-02-04,2023-02-08,"Standard Class",DB-13270,"Deborah Brumfield","Home Office","United States","San Diego",California,92024,West,OFF-BI-10004230,"Office Supplies",Binders,82.90,3.00,0.20,29.01
93,US-2023-107181,2023-02-04,2023-02-08,"Standard Class",DB-13270,"Deborah Brumfield","Home Office","United States","San Diego",California,92024,West,OFF-PA-10000350,"Office Supplies",Paper,34.24,4.00,0.00,16.09
94,US-2023-108182,2023-02-06,2023-02-10,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Romeoville,Illinois,60441,Central,OFF-BI-10001196,"Office Supplies",Binders,8.95,2.00,0.80,-14.77
95,US-2023-131905,2023-02-06,2023-02-09,"First Class",ND-18460,"Neil Ducich",Corporate,"United States",Chesapeake,Virginia,23320,South,OFF-LA-10002787,"Office Supplies",Labels,15.00,4.00,0.00,7.20
96,US-2023-131905,2023-02-06,2023-02-09,"First Class",ND-18460,"Neil Ducich",Corporate,"United States",Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,144.95,5.00,0.00,42.04
97,US-2023-131905,2023-02-06,2023-02-09,"First Class",ND-18460,"Neil Ducich",Corporate,"United States",Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,161.61,1.00,0.00,42.02
98,US-2023-169390,2023-02-07,2023-02-10,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","New York City","New York",10024,East,OFF-ST-10001558,"Office Supplies",Storage,64.96,4.00,0.00,9.74
99,US-2023-107755,2023-02-07,2023-02-12,"Standard Class",CK-12760,"Cyma Kinney",Corporate,"United States",Linden,"New Jersey",7036,East,TEC-AC-10000710,Technology,Accessories,115.36,7.00,0.00,49.60
100,US-2023-125759,2023-02-08,2023-02-09,"First Class",NM-18445,"Nathan Mautz","Home Office","United States","North Las Vegas",Nevada,89031,West,FUR-FU-10002111,Furniture,Furnishings,14.56,2.00,0.00,5.53
101,US-2023-168368,2023-02-11,2023-02-15,"Second Class",GA-14725,"Guy Armstrong",Consumer,"United States",Columbia,Missouri,65203,Central,FUR-CH-10001146,Furniture,Chairs,60.89,1.00,0.00,15.22
102,US-2023-168368,2023-02-11,2023-02-15,"Second Class",GA-14725,"Guy Armstrong",Consumer,"United States",Columbia,Missouri,65203,Central,FUR-FU-10002298,Furniture,Furnishings,332.94,3.00,0.00,53.27
103,US-2023-127614,2023-02-11,2023-02-15,"Standard Class",NF-18385,"Natalie Fritzler",Consumer,"United States",Chesapeake,Virginia,23320,South,FUR-TA-10003715,Furniture,Tables,1256.22,6.00,0.00,75.37
104,US-2023-127614,2023-02-11,2023-02-15,"Standard Class",NF-18385,"Natalie Fritzler",Consumer,"United States",Chesapeake,Virginia,23320,South,OFF-BI-10003291,"Office Supplies",Binders,17.46,2.00,0.00,8.21
105,US-2023-168368,2023-02-11,2023-02-15,"Second Class",GA-14725,"Guy Armstrong",Consumer,"United States",Columbia,Missouri,65203,Central,OFF-BI-10004654,"Office Supplies",Binders,51.90,3.00,0.00,24.39
106,US-2023-168368,2023-02-11,2023-02-15,"Second Class",GA-14725,"Guy Armstrong",Consumer,"United States",Columbia,Missouri,65203,Central,OFF-BI-10004728,"Office Supplies",Binders,9.64,2.00,0.00,4.43
107,US-2023-168368,2023-02-11,2023-02-15,"Second Class",GA-14725,"Guy Armstrong",Consumer,"United States",Columbia,Missouri,65203,Central,OFF-LA-10004853,"Office Supplies",Labels,14.94,3.00,0.00,6.87
108,US-2023-168368,2023-02-11,2023-02-15,"Second Class",GA-14725,"Guy Armstrong",Consumer,"United States",Columbia,Missouri,65203,Central,OFF-ST-10002583,"Office Supplies",Storage,64.96,2.00,0.00,2.60
109,US-2023-127614,2023-02-11,2023-02-15,"Standard Class",NF-18385,"Natalie Fritzler",Consumer,"United States",Chesapeake,Virginia,23320,South,TEC-AC-10001432,Technology,Accessories,234.45,3.00,0.00,103.16
110,US-2023-110674,2023-02-12,2023-02-18,"Standard Class",SC-20095,"Sanjit Chand",Consumer,"United States",Concord,California,94521,West,FUR-CH-10000225,Furniture,Chairs,129.57,2.00,0.20,-24.29
111,US-2023-121762,2023-02-14,2023-02-18,"Standard Class",ML-17395,"Marina Lichtenstein",Corporate,"United States",Seattle,Washington,98103,West,OFF-AP-10001293,"Office Supplies",Appliances,81.96,2.00,0.00,22.95
112,US-2023-107706,2023-02-14,2023-02-19,"Second Class",ST-20530,"Shui Tom",Consumer,"United States",Houston,Texas,77095,Central,OFF-PA-10000466,"Office Supplies",Paper,16.18,3.00,0.20,6.07
113,US-2023-121762,2023-02-14,2023-02-18,"Standard Class",ML-17395,"Marina Lichtenstein",Corporate,"United States",Seattle,Washington,98103,West,OFF-SU-10000157,"Office Supplies",Supplies,238.62,2.00,0.00,4.77
114,US-2023-121762,2023-02-14,2023-02-18,"Standard Class",ML-17395,"Marina Lichtenstein",Corporate,"United States",Seattle,Washington,98103,West,TEC-AC-10000736,Technology,Accessories,239.97,3.00,0.00,86.39
115,US-2023-165568,2023-02-15,2023-02-19,"Standard Class",BF-11020,"Barry Franz̦sisch",Corporate,"United States",Seattle,Washington,98105,West,OFF-BI-10001031,"Office Supplies",Binders,21.36,5.00,0.20,7.21
116,US-2023-122567,2023-02-16,2023-02-21,"Standard Class",MN-17935,"Michael Nguyen",Consumer,"United States",Dallas,Texas,75220,Central,OFF-AP-10001303,"Office Supplies",Appliances,7.96,2.00,0.80,-13.93
117,US-2023-122567,2023-02-16,2023-02-21,"Standard Class",MN-17935,"Michael Nguyen",Consumer,"United States",Dallas,Texas,75220,Central,OFF-BI-10002012,"Office Supplies",Binders,1.08,3.00,0.80,-1.73
118,US-2023-154165,2023-02-17,2023-02-24,"Standard Class",DL-13315,"Delfina Latchford",Consumer,"United States",Chicago,Illinois,60653,Central,OFF-AR-10003631,"Office Supplies",Art,54.21,14.00,0.20,8.81
119,US-2023-165589,2023-02-18,2023-02-18,"Same Day",TB-21595,"Troy Blackwell",Consumer,"United States",Lubbock,Texas,79424,Central,FUR-FU-10002396,Furniture,Furnishings,25.16,5.00,0.60,-11.32
120,US-2023-152905,2023-02-18,2023-02-24,"Standard Class",AB-10015,"Aaron Bergman",Consumer,"United States",Arlington,Texas,76017,Central,OFF-ST-10000321,"Office Supplies",Storage,12.62,2.00,0.20,-2.52
121,US-2023-109491,2023-02-20,2023-02-26,"Standard Class",LC-16930,"Linda Cazamias",Corporate,"United States",Richmond,Indiana,47374,Central,FUR-FU-10000221,Furniture,Furnishings,20.32,4.00,0.00,6.91
122,US-2023-164903,2023-02-20,2023-02-24,"Standard Class",SR-20740,"Steven Roelle","Home Office","United States","Los Angeles",California,90049,West,OFF-PA-10003363,"Office Supplies",Paper,12.96,2.00,0.00,6.22
123,US-2023-109491,2023-02-20,2023-02-26,"Standard Class",LC-16930,"Linda Cazamias",Corporate,"United States",Richmond,Indiana,47374,Central,TEC-AC-10001284,Technology,Accessories,62.31,3.00,0.00,22.43
124,US-2023-165540,2023-02-21,2023-02-25,"Standard Class",TM-21010,"Tamara Manning",Consumer,"United States",Woodstock,Illinois,60098,Central,OFF-BI-10004094,"Office Supplies",Binders,8.85,5.00,0.80,-13.72
125,US-2023-133354,2023-02-22,2023-02-24,"First Class",SA-20830,"Sue Ann Reed",Consumer,"United States","Moreno Valley",California,92553,West,OFF-PA-10001800,"Office Supplies",Paper,19.44,3.00,0.00,9.33
126,US-2023-103744,2023-02-23,2023-02-27,"Standard Class",MG-17875,"Michael Grace","Home Office","United States","El Paso",Texas,79907,Central,OFF-BI-10000320,"Office Supplies",Binders,4.43,3.00,0.80,-6.86
